//
// Esta lista se usa para corregigir palabras en los nombres de 
// cualquier cosa poniendole la Ñ segun la version 3.1
//
// PosiblesPalabras(separados por '|'),Palabra Final
ESCUELA KARINA + AMBULATORIO|ESCUELA KARIÑA + AMBULATORIO
ESCUELA LA MONTANA|ESCUELA LA MONTAÑA
ESCUELA LA MONTANITA|ESCUELA LA MONTAÑITA
ESCUELA NO CARLOS|ESCUELA ÑO CARLOS
ESPANOL RESTAURANT|ESPAÑOL RESTAURANT
FABRICA DE PENEROS ARTESANALES PARA PESCA|FABRICA DE PEÑEROS ARTESANALES PARA PESCA
FANTASY WOLD (PINATERIA)|FANTASY WOLD (PIÑATERIA)
FARMACIA DIVINO NINO|FARMACIA DIVINO NIÑO
FARMACIA LA MONTANA|FARMACIA LA MONTAÑA
FERRETERÍA EL VINEDO|FERRETERÍA EL VIÑEDO
FERRETERIA LA PEQUENA|FERRETERIA LA PEQUEÑA
FERRETERÍA MANONGO|FERRETERÍA MAÑONGO
FERRETERIA Y TORNILLERIA LA CAMPINA|FERRETERIA Y TORNILLERIA LA CAMPIÑA
FIN PASO DE MONTANA|FIN PASO DE MONTAÑA
FUNDACION DEL NINO|FUNDACION DEL NIÑO
FUNERARIA PINANGO|FUNERARIA PIÑANGO
GRANADILLO HUECO, 500 ANOS|GRANADILLO HUECO, 500 AÑOS
GRUPO DE RESCATE DOMINGO PENA|GRUPO DE RESCATE DOMINGO PEÑA
GUARDERIA PEQUENO MUNDO|GUARDERIA PEQUEÑO MUNDO
HAMBURGUESAS EL LENADOR|HAMBURGUESAS EL LEÑADOR
HOSPITAL DE NINOS EXCEPCIONALES|HOSPITAL DE NIÑOS EXCEPCIONALES
HOTEL BAR RESTAURAT ESPANA|HOTEL BAR RESTAURAT ESPAÑA
HOTEL DE TUNAME|HOTEL DE TUÑAME
HOTEL EL CANO|HOTEL EL CAÑO
HOTEL LAS CABANAS|HOTEL LAS CABAÑAS
HOTEL VILLA ESPANA|HOTEL VILLA ESPAÑA
IGLESIA NINO JESUS|IGLESIA NIÑO JESUS
IGLESIA NUESTRA SENORA DE LOS DESEMPARADOS|IGLESIA NUESTRA SEÑORA DE LOS DESEMPARADOS
IGLESIA NUESTRA SENORA DE LOURDES (PALO GRANDE)|IGLESIA NUESTRA SEÑORA DE LOURDES (PALO GRANDE)
IGUESIA NUESTRA SENORA DE FATIMA|IGUESIA NUESTRA SEÑORA DE FATIMA
INSALUD (FUNDACION INSTITUTO CARABOBENO PARA LA SALUD)|INSALUD (FUNDACION INSTITUTO CARABOBEÑO PARA LA SALUD)
K-NA BRAVA COSMÉTICOS|K-ÑA BRAVA COSMÉTICOS
LA CABANA DE TIA ANA|LA CABAÑA DE TIA ANA
LA CASA DE LA CANA|LA CASA DE LA CAÑA
LA ESPANOLA SUPERMERCADO|LA ESPAÑOLA SUPERMERCADO
LA MONTANA|LA MONTAÑA
LA MONTANITA|LA MONTAÑITA
LA NINA PANADERIA|LA NIÑA PANADERIA
LA TIENDA DEL PINTOR (EL VINEDO)|LA TIENDA DEL PINTOR (EL VIÑEDO)
LAS COSAS DEL NINO|LAS COSAS DEL NIÑO
LAS GRANADINAS 1 COUNTRY CLUB|LAS GRANADIÑAS 1 COUNTRY CLUB
LAS PENITAS|LAS PEÑITAS
LENADERO DE JUAN|LEÑADERO DE JUAN
LIBRERÍA EL VINEDO|LIBRERÍA EL VIÑEDO
LIC POOL MONTANO|LIC POOL MONTAÑO
LICEO SANTIAGO MARINO|LICEO SANTIAGO MARIÑO
LICORERIA CANA FINA|LICORERIA CAÑA FINA
LICORERÍA DIVINO NINO|LICORERÍA DIVINO NIÑO
LICORERIA LA PINATA|LICORERIA LA PIÑATA
LICORERIA MINO|LICORERIA MIÑO
MACANA|MACAÑA
MADERERA BEGONA GUTIERREZ|MADERERA BEGOÑA GUTIERREZ
MI CABANA|MI CABAÑA
MI TEQUENO|MI TEQUEÑO
MI TRIGUENITA|MI TRIGUEÑITA
MONUMENTO ANDRÉS BELLO ENSENANDO A BOLÍVAR|MONUMENTO ANDRÉS BELLO ENSEÑANDO A BOLÍVAR
MUCUNUQUE (10) 4660M|MUCUÑUQUE (10) 4660M
MUSEO DE LA ESTAMPA Y DEL DISENO CARLOS CRUZ DIEZ|MUSEO DE LA ESTAMPA Y DEL DISEÑO CARLOS CRUZ DIEZ
MUSEO DE LOS NINOS|MUSEO DE LOS NIÑOS
NICHO LINGUISTICO KARINA|NICHO LINGUISTICO KARIÑA
NINA TEODORA MATERNAL/PREESCOLAR|NIÑA TEODORA MATERNAL/PREESCOLAR
NO CARLOS|ÑO CARLOS
ON THE RUN LA PINA|ON THE RUN LA PIÑA
PANADERÍA EL ANIL|PANADERÍA EL AÑIL
PANADERIA EL VINEDO|PANADERIA EL VIÑEDO
PANADERIA GRAN BRETANA|PANADERIA GRAN BRETAÑA
PANADERÍA MANONGO|PANADERÍA MAÑONGO
PANADERIA PEQUENO PARAISO|PANADERIA PEQUEÑO PARAISO
PANIFICADORA KARINA|PANIFICADORA KARIÑA
PANTONO|PANTOÑO
PARADA BUS TASCABANA - EL TIGRE|PARADA BUS TASCABAÑA - EL TIGRE
PARADOR ESPANOL|PARADOR ESPAÑOL
PARADOR TURÍSTICO DONA CLETA|PARADOR TURÍSTICO DOÑA CLETA
PARKING FERNANDO PENALVER|PARKING FERNANDO PEÑALVER
PARROQUIA NUESTRA SENORA DEL CARMEN|PARROQUIA NUESTRA SEÑORA DEL CARMEN
PASTELES EL ANTANO|PASTELES EL ANTAÑO
PEQUENO MERCADO DE BUHONEROS|PEQUEÑO MERCADO DE BUHONEROS
PEQUENO PUESTO DE CERRAJERIA|PEQUEÑO PUESTO DE CERRAJERIA
PESCADERIA NUESTRA SENORA DE FATIMA|PESCADERIA NUESTRA SEÑORA DE FATIMA
PETROCEDENO|PETROCEDEÑO
PICO MUCUNUQUE 4329MTS|PICO MUCUÑUQUE 4329MTS
PINTACASA (EL VINEDO)|PINTACASA (EL VIÑEDO)
PINANGO|PIÑANGO
PINATAL|PIÑATAL
PINATAS|PIÑATAS
PINATAS EL VENEZOLANO|PIÑATAS EL VENEZOLANO
PINATAS UGO BISANTI|PIÑATAS UGO BISANTI
PIZZAS EL LENADOR|PIZZAS EL LEÑADOR
PLAZA ANTONIO PENALVER|PLAZA ANTONIO PEÑALVER
PLAZA DONANA|PLAZA DOÑANA
POLLO ASADO DONA CARMEN|POLLO ASADO DOÑA CARMEN
POLLOS DONA CARMEN|POLLOS DOÑA CARMEN
POSADA DE TONITA|POSADA DE TOÑITA
POSADA DONA CARMEN|POSADA DOÑA CARMEN
POSADA DONA MAGALIS|POSADA DOÑA MAGALIS
POSADA EL ORDENO|POSADA EL ORDEÑO
POSADA LA ARDILENA|POSADA LA ARDILEÑA
POSADA LA MONTANA|POSADA LA MONTAÑA
POSADA LAS DONAS|POSADA LAS DOÑAS
POSADA MIS SUENOS|POSADA MIS SUEÑOS
POSADA MONTANA AZUL|POSADA MONTAÑA AZUL
POSADA NUESTRO SUENO|POSADA NUESTRO SUEÑO
POSADA TURÍSTICA LA PENA DE LOLITO|POSADA TURÍSTICA LA PEÑA DE LOLITO
POSADA VISTA MONTANA|POSADA VISTA MONTAÑA
POTRERITO CLUB DE MONTANA|POTRERITO CLUB DE MONTAÑA
POZO EL ISLENO|POZO EL ISLEÑO
PUENTE CANO COPEY|PUENTE CAÑO COPEY
PUENTE CANO LOS GALPONES|PUENTE CAÑO LOS GALPONES
PUENTE DE LOS ESPANOLES|PUENTE DE LOS ESPAÑOLES
PUENTE PINATAL|PUENTE PIÑATAL
PUENTE SOBRE CANADA|PUENTE SOBRE CAÑADA
QDA LA NINA|QDA LA NIÑA
REPOSTERIA LA DONA|REPOSTERIA LA DOÑA
RES CAMPINA CRISTAL|RES CAMPIÑA CRISTAL
RES. JOSÉ MARIA ESPANA|RES. JOSÉ MARIA ESPAÑA
RES. PORTAL DE MANONGO II|RES. PORTAL DE MAÑONGO II
RES. PORTAL DE MANONGO III|RES. PORTAL DE MAÑONGO III
RES. PORTAL DE MANONGO IV|RES. PORTAL DE MAÑONGO IV
RES.CANA DORADA|RES.CAÑA DORADA
RES.CANAS BRAVAS|RES.CAÑAS BRAVAS
RES.CANAS VERDES|RES.CAÑAS VERDES
RES.DONA CAMILA|RES.DOÑA CAMILA
RES.DONA MARIA|RES.DOÑA MARIA
RES.EL CANAVERAL|RES.EL CAÑAVERAL
RES.LA RIBERENA III|RES.LA RIBEREÑA III
RES.MINO|RES.MIÑO
RESID. VILLA INAKI|RESID. VILLA IÑAKI
RESIDENCIAS DONA ZAIDA|RESIDENCIAS DOÑA ZAIDA
REST DONA CARMEN|REST DOÑA CARMEN
REST MI CABANA|REST MI CABAÑA
REST. FOGÓN CALENO|REST. FOGÓN CALEÑO
REST. VINA DEL MAR (LANGOSTAS)|REST. VIÑA DEL MAR (LANGOSTAS)
RESTAURANT LA TONA|RESTAURANT LA TOÑA
RESTAURANT DONA CHICHA|RESTAURANT DOÑA CHICHA
RESTAURANT DONA PETRA|RESTAURANT DOÑA PETRA
RESTAURANT EL CUPIRENO|RESTAURANT EL CUPIREÑO
RESTAURANT KARINA VAAMONKADO|RESTAURANT KARIÑA VAAMONKADO
RESTAURANT LA CASTANUELA|RESTAURANT LA CASTAÑUELA
RESTAURANT LA MONTANA|RESTAURANT LA MONTAÑA
RESTAURANT LA RAMPINA|RESTAURANT LA RAMPIÑA
RESTAURANTE DONA MARIA|RESTAURANTE DOÑA MARIA
RIO/CANO|RIO/CAÑO
RUINAS DE LOS ESPANOLES|RUINAS DE LOS ESPAÑOLES
